PI	Project Number	Sample ID	Total Reads	Average Q-Score	Percent 5x Coverage	Percent 10x Coverage	Percent 20x Coverage	Percent 30x Coverage
Marley Hodges	9001	9001-MH-1	52220	26	95	87	78	61
Marley Hodges	9001	9001-MH-2	51242	21	99	93	79	65
Marley Hodges	9001	9001-MH-3	59649	28	98	87	73	60
Marcie Garrett	9002	9002-MG-1	51969	20	99	89	74	68
Marcie Garrett	9002	9002-MG-2	53633	23	95	92	70	61
Marcie Garrett	9002	9002-MG-3	54908	27	97	86	79	65
Marcie Garrett	9002	9002-MG-4	54038	25	96	94	80	60
Marcie Garrett	9002	9002-MG-5	52156	23	96	86	72	63
Marcie Garrett	9002	9002-MG-6	57833	28	98	94	70	68
Marcie Garrett	9002	9002-MG-7	55318	21	95	91	80	60
Marcie Garrett	9002	9002-MG-8	59692	23	97	85	78	66
Marcie Garrett	9002	9002-MG-9	57318	21	98	86	73	68
Ruadhi Gilliam	9003	9003-RG-1	56004	28	95	94	84	62
Ruadhi Gilliam	9003	9003-RG-2	50705	20	96	93	73	66
Ruadhi Gilliam	9003	9003-RG-3	52613	23	99	88	75	61
Ruadhi Gilliam	9003	9003-RG-4	50692	23	95	91	79	65
Ruadhi Gilliam	9003	9003-RG-5	55775	26	95	91	78	63
Ruadhi Gilliam	9003	9003-RG-6	54794	23	97	85	82	61
Ruadhi Gilliam	9003	9003-RG-7	54873	25	95	93	80	69
Ruadhi Gilliam	9003	9003-RG-8	53130	21	98	87	74	68
Ruadhi Gilliam	9003	9003-RG-9	56541	26	97	85	84	69
Ruadhi Gilliam	9003	9003-RG-10	55024	20	98	90	78	65
Ruadhi Gilliam	9003	9003-RG-11	55379	25	95	88	78	61
Ruadhi Gilliam	9003	9003-RG-12	58398	28	98	88	80	60
Ruadhi Gilliam	9003	9003-RG-13	53041	24	96	89	72	61
Ruadhi Gilliam	9003	9003-RG-14	51212	28	96	93	84	61
Ruadhi Gilliam	9003	9003-RG-15	56385	29	95	94	70	63
Ruadhi Gilliam	9003	9003-RG-16	54989	29	95	86	71	60
Ruadhi Gilliam	9003	9003-RG-17	59422	21	98	91	81	63
Mike Bordie	9004	9004-MB-1	50406	26	98	86	80	68
Mike Bordie	9004	9004-MB-2	56182	23	97	85	71	68
Mike Bordie	9004	9004-MB-3	54381	22	95	91	75	61
Mike Bordie	9004	9004-MB-4	51304	23	95	94	81	63
Mike Bordie	9004	9004-MB-5	55865	22	96	87	70	65
Mike Bordie	9004	9004-MB-6	59065	26	99	89	71	63
Mike Bordie	9004	9004-MB-7	50845	20	96	89	75	64
Mike Bordie	9004	9004-MB-8	55534	26	99	89	76	65
Mike Bordie	9004	9004-MB-9	50277	21	98	90	77	67
Mike Bordie	9004	9004-MB-10	53136	25	99	91	84	64
Mike Bordie	9004	9004-MB-11	55248	26	98	89	74	63
Lesia Cliton	9005	9005-LC-1	53360	25	96	91	77	65
Ruadhi Gilliam	9006	9006-RG-1	55120	23	96	90	78	66
Ruadhi Gilliam	9006	9006-RG-2	58826	21	96	89	74	62
Ruadhi Gilliam	9006	9006-RG-3	53748	21	99	88	74	63
Ruadhi Gilliam	9006	9006-RG-4	57515	29	95	89	76	67
Ruadhi Gilliam	9006	9006-RG-5	59105	29	99	86	79	64
Ruadhi Gilliam	9006	9006-RG-6	54703	23	97	85	81	65
Ruadhi Gilliam	9006	9006-RG-7	59497	20	99	92	84	68
Ruadhi Gilliam	9006	9006-RG-8	59063	25	96	88	76	64
Ruadhi Gilliam	9006	9006-RG-9	58938	21	97	92	78	65
Marcie Garrett	9007	9007-MG-1	56382	26	96	86	84	68
Marcie Garrett	9007	9007-MG-2	52193	22	96	85	82	64
Marcie Garrett	9007	9007-MG-3	59715	26	98	94	70	64
Marcie Garrett	9007	9007-MG-4	50259	20	99	93	80	62
Marcie Garrett	9007	9007-MG-5	52255	27	97	86	76	65
Marcie Garrett	9007	9007-MG-6	50485	27	98	87	75	60
Marcie Garrett	9007	9007-MG-7	56615	23	95	87	83	64
Marcie Garrett	9007	9007-MG-8	59769	26	99	88	76	65
Marcie Garrett	9007	9007-MG-9	51785	27	96	94	81	65
Marcie Garrett	9007	9007-MG-10	52368	20	97	87	82	69
Marcie Garrett	9007	9007-MG-11	51152	24	97	94	77	61
Marcie Garrett	9007	9007-MG-12	50061	21	95	91	77	64
Marcie Garrett	9007	9007-MG-13	57418	25	97	92	76	64
Marcie Garrett	9007	9007-MG-14	59638	26	97	88	81	69
Marcie Garrett	9007	9007-MG-15	53373	25	96	90	71	68
Marcie Garrett	9008	9008-MG-1	58178	23	98	90	73	62
Marcie Garrett	9008	9008-MG-2	54812	21	98	90	72	61
Marcie Garrett	9008	9008-MG-3	55516	25	96	89	78	61
Marcie Garrett	9008	9008-MG-4	56921	27	98	88	77	69
Marcie Garrett	9008	9008-MG-5	54557	22	99	93	74	61
Marcie Garrett	9008	9008-MG-6	51822	28	97	90	76	61
Marcie Garrett	9008	9008-MG-7	51689	26	97	94	82	67
Marcie Garrett	9008	9008-MG-8	55726	24	95	87	73	65
Marcie Garrett	9008	9008-MG-9	51326	25	95	86	83	62
Marcie Garrett	9008	9008-MG-10	53574	27	98	87	80	65
Marcie Garrett	9008	9008-MG-11	58382	27	98	94	77	62
Marcie Garrett	9008	9008-MG-12	50804	27	97	94	74	60
Marcie Garrett	9008	9008-MG-13	50895	22	98	89	81	62
Marcie Garrett	9008	9008-MG-14	50997	23	96	94	82	62
Marley Hodges	9009	9009-MH-1	55852	24	99	87	82	60
Marley Hodges	9009	9009-MH-2	54773	20	98	92	79	65
Marley Hodges	9009	9009-MH-3	52890	26	99	91	77	67
Marley Hodges	9009	9009-MH-4	52961	24	96	93	80	66
Marley Hodges	9009	9009-MH-5	50348	20	97	92	83	60
Marley Hodges	9009	9009-MH-6	50238	26	95	92	82	64
Marley Hodges	9009	9009-MH-7	57665	29	97	85	72	67
Marley Hodges	9009	9009-MH-8	57141	21	99	91	81	60
Marley Hodges	9009	9009-MH-9	54896	27	96	90	79	62
Marley Hodges	9009	9009-MH-10	57285	21	95	87	77	68
Marley Hodges	9009	9009-MH-11	53767	20	96	87	77	67
Marcie Garrett	9010	9010-MG-1	59176	21	98	94	74	68
Marcie Garrett	9010	9010-MG-2	55325	29	96	86	72	66
Marcie Garrett	9010	9010-MG-3	53225	21	97	91	82	67
Marcie Garrett	9010	9010-MG-4	51613	23	97	93	79	66
Marcie Garrett	9010	9010-MG-5	53040	23	98	85	75	62
Marcie Garrett	9010	9010-MG-6	58847	28	97	92	77	62
Marcie Garrett	9010	9010-MG-7	58948	24	97	86	79	68
Marcie Garrett	9010	9010-MG-8	56184	29	95	93	82	62
Marcie Garrett	9010	9010-MG-9	54459	20	95	85	71	65
Marcie Garrett	9010	9010-MG-10	59858	28	99	93	74	63
Marcie Garrett	9010	9010-MG-11	56273	21	95	87	77	63
